household_key,received_campaign,redeemed_coupons,total_campaigns_received,TypeA,TypeB,TypeC,total_campaigns_engaged,total_coupons_received,total_coupons_redeemed,camp_conversion_rate,coupon_conversion_rate,revenue,recency,frequency,GROCERY_spend,DELI_spend,PRODUCE_spend,KIOSK-GAS_spend,DRUG GM_spend,NUTRITION_spend,SALAD BAR_spend,MEAT_spend,recency_cluster,frequency_cluster,revenue_cluster,rfm_score,segment,age_desc,marital_status_code,income_desc,homeowner_desc,hh_comp_desc,household_size_desc,kid_category_desc
1,1,1,8.0,3.0,4.0,1.0,5.0,159.0,5.0,0.62,0.03,4330.159999999964,5,86,2754.9999999999923,212.17,266.10000000000014,0.0,530.8900000000006,48.32999999999999,41.2,17.91,3,0,1,4,Mid-value,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
7,1,0,4.0,1.0,3.0,0.0,0.0,61.0,0.0,0.0,0.0,3400.0499999999797,2,59,1901.300000000004,155.14000000000004,267.0400000000001,0.0,652.8700000000005,20.64,0.0,189.71,3,0,1,4,Mid-value,45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
8,1,1,10.0,3.0,7.0,0.0,1.0,168.0,1.0,0.1,0.01,5534.969999999942,5,113,3107.2199999999925,142.38,337.9800000000003,188.94,778.890000000001,11.98,65.61,316.9200000000001,3,1,1,5,Mid-value,25-34,U,25-34K,Unknown,2 Adults Kids,3,1
13,1,1,10.0,3.0,6.0,1.0,21.0,161.0,21.0,2.1,0.13,13190.919999999956,2,275,4925.619999999976,97.98000000000002,306.9200000000001,3205.090000000001,2876.3799999999915,3.3099999999999996,10.09,19.13,3,1,3,7,High-value,25-34,U,75-99K,Homeowner,2 Adults Kids,4,2
16,1,0,2.0,1.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,1512.0200000000018,21,98,823.7600000000011,97.87,87.45000000000002,192.29999999999998,68.29000000000002,8.86,6.43,95.78999999999999,3,0,0,3,Low-value,45-54,B,50-74K,Homeowner,Single Female,1,None/Unknown
17,1,0,5.0,5.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,5139.629999999968,22,124,1976.6600000000049,37.36,230.30999999999995,703.13,890.8100000000005,10.97,0.0,969.99,3,1,1,5,Mid-value,65+,B,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown
18,1,1,4.0,3.0,1.0,0.0,8.0,64.0,8.0,2.0,0.12,7118.909999999938,0,163,4289.769999999973,301.13000000000005,638.6300000000005,0.0,363.54000000000013,96.30000000000001,0.0,382.91999999999996,3,1,2,6,Mid-value,45-54,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown
19,1,1,9.0,3.0,4.0,2.0,1.0,168.0,1.0,0.11,0.01,11299.609999999926,0,421,5945.709999999979,287.88000000000005,583.1200000000009,1464.36,228.86000000000018,43.91,65.17999999999999,1435.3800000000003,3,2,3,8,High-value,35-44,B,15-24K,Unknown,Single Female,1,None/Unknown
20,1,0,7.0,3.0,4.0,0.0,0.0,113.0,0.0,0.0,0.0,7486.109999999958,0,387,3709.1799999999866,0.0,135.93,1446.8700000000001,746.6799999999998,0.0,0.0,408.61000000000024,3,2,2,7,High-value,25-34,A,75-99K,Renter,2 Adults No Kids,2,None/Unknown
22,1,1,8.0,5.0,3.0,0.0,25.0,131.0,25.0,3.12,0.19,6256.039999999956,0,136,2833.1099999999938,573.4000000000002,598.0400000000004,986.06,421.1600000000001,23.25,0.0,514.6000000000001,3,1,2,6,Mid-value,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
25,1,0,4.0,4.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,3149.649999999993,6,94,1497.9400000000046,75.35000000000002,113.13999999999999,80.0,953.1600000000003,1.0,10.29,130.33,3,0,1,4,Mid-value,35-44,U,50-74K,Unknown,Unknown,1,None/Unknown
