,household_key,revenue,recency,frequency,recency_cluster,frequency_cluster,revenue_cluster,rfm_score,segment,received_campA_18,redeemed_campA_18,GROCERY_spend,DELI_spend,PRODUCE_spend,KIOSK-GAS_spend,DRUG GM_spend,MEAT_spend
0,2375,466.4900000000001,3,17,3,1,1,5,Mid-value,1,1,173.7499999999999,,65.8,,62.360000000000014,68.50000000000001
1,1172,596.3000000000004,2,19,3,1,1,5,Mid-value,1,0,227.81000000000003,29.96,21.75,28.82,152.51000000000002,45.53
2,2483,266.46000000000004,0,15,3,1,1,5,Mid-value,1,0,147.56999999999996,2.65,35.39,,40.89000000000001,17.03
3,2305,539.85,1,10,3,1,1,5,Mid-value,1,1,317.06999999999994,10.47,48.83,17.75,63.64,45.809999999999995
4,985,288.61000000000007,3,11,3,1,1,5,Mid-value,0,0,147.96000000000004,12.83,32.92,,51.64000000000001,11.6
5,216,380.81000000000034,2,16,3,1,1,5,Mid-value,0,0,197.9099999999999,39.56,8.06,,29.369999999999997,
6,2324,421.05,0,19,3,1,1,5,Mid-value,1,1,250.23999999999992,30.860000000000003,16.310000000000002,,50.990000000000016,13.310000000000002
7,1490,403.52,0,21,3,1,1,5,Mid-value,1,0,248.80999999999997,,34.3,,17.1,59.58000000000001
8,1558,530.2100000000004,5,14,3,1,1,5,Mid-value,1,0,221.0600000000001,1.99,41.43,,162.58999999999997,32.33
9,630,545.0300000000002,2,13,3,1,1,5,Mid-value,1,1,305.08000000000004,31.110000000000003,26.189999999999994,30.01,32.080000000000005,113.96
10,2141,494.0499999999999,1,10,3,1,1,5,Mid-value,1,0,246.67,17.41,22.050000000000004,,143.47,
11,926,371.15999999999997,1,17,3,1,1,5,Mid-value,1,0,131.05999999999997,24.44,26.35,158.93,15.59,
12,1483,436.49000000000024,2,11,3,1,1,5,Mid-value,1,1,227.03999999999994,24.12,19.84,27.0,5.18,55.68
13,1258,289.5700000000001,1,21,3,1,1,5,Mid-value,1,0,184.73000000000002,6.87,6.84,,41.61,
14,294,442.7500000000001,2,15,3,1,1,5,Mid-value,1,0,275.24999999999994,33.7,17.82,,31.14,40.160000000000004
15,2116,540.34,5,18,3,1,1,5,Mid-value,0,0,290.8499999999999,38.99999999999999,46.25,36.040000000000006,71.24000000000001,13.51
16,401,557.3500000000003,0,17,3,1,1,5,Mid-value,0,0,331.18,8.700000000000001,29.689999999999994,,49.0,62.92
17,1584,349.54000000000013,2,12,3,1,1,5,Mid-value,1,0,212.51999999999998,,16.48,,46.61,26.35
18,105,271.6899999999998,2,18,3,1,1,5,Mid-value,1,1,131.00000000000006,,10.98,,,55.5
19,1138,267.2100000000003,0,14,3,1,1,5,Mid-value,1,0,175.14000000000016,37.42,,,44.490000000000016,
20,365,438.3500000000002,1,11,3,1,1,5,Mid-value,1,0,132.53,7.15,37.21,91.44,8.280000000000001,67.59
21,1689,273.55999999999995,6,14,3,1,1,5,Mid-value,1,0,132.7,,,19.0,23.98,44.519999999999996
22,2247,456.78000000000003,4,16,3,1,1,5,Mid-value,0,0,262.34000000000003,6.95,47.15,,10.94,58.309999999999995
23,451,292.6800000000001,2,21,3,1,1,5,Mid-value,1,0,127.50999999999996,,29.169999999999998,,48.120000000000005,36.92
24,1185,426.3600000000001,3,14,3,1,1,5,Mid-value,0,0,284.07,22.1,13.5,,31.79,39.6
25,404,293.81000000000006,3,17,3,1,1,5,Mid-value,1,0,175.56000000000003,,9.219999999999999,59.54,36.150000000000006,4.36
26,280,310.3,2,17,3,1,1,5,Mid-value,0,0,119.61,,2.99,50.010000000000005,9.59,90.53
27,1943,261.78,0,16,3,1,1,5,Mid-value,1,0,128.15,,,,98.97,7.99
