household_key,received_campaign,redeemed_coupons,total_campaigns_received,TypeA,TypeB,TypeC,total_campaigns_engaged,total_coupons_received,total_coupons_redeemed,camp_conversion_rate,coupon_conversion_rate,revenue,recency,frequency,GROCERY_spend,DELI_spend,PRODUCE_spend,KIOSK-GAS_spend,DRUG GM_spend,NUTRITION_spend,SALAD BAR_spend,MEAT_spend,recency_cluster,frequency_cluster,revenue_cluster,rfm_score,segment,age_desc,marital_status_code,income_desc,homeowner_desc,hh_comp_desc,household_size_desc,kid_category_desc
1,1,1,8.0,3.0,4.0,1.0,5.0,159.0,5.0,0.62,0.03,4330.159999999964,5,86,2754.9999999999923,212.17,266.10000000000014,0.0,530.8900000000006,48.32999999999999,41.2,17.91,3,0,1,4,Mid-value,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
2,1,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1954.3400000000045,43,45,1112.490000000002,46.730000000000004,152.28,0.0,330.04,7.470000000000001,0.0,154.32000000000005,3,0,0,3,Low-value,,,,,,,
3,1,0,3.0,2.0,0.0,1.0,0.0,58.0,0.0,0.0,0.0,2653.209999999992,8,47,1784.7500000000014,36.47,68.03,20.01,159.0800000000001,0.0,1.36,317.27000000000004,3,0,1,4,Mid-value,,,,,,,
4,1,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1200.1100000000006,84,30,698.7300000000006,14.350000000000001,4.869999999999999,0.0,318.98,3.29,0.0,38.74,2,0,0,2,Low-value,,,,,,,
5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779.0600000000003,8,40,359.13,80.03000000000002,2.19,0.0,203.08,2.0,0.0,49.75,3,0,0,3,Low-value,,,,,,,
6,1,0,4.0,3.0,1.0,0.0,0.0,56.0,0.0,0.0,0.0,5996.159999999947,4,250,1960.530000000005,125.22999999999998,1324.810000000001,252.75,844.4800000000006,46.190000000000005,21.28,1050.45,3,1,2,6,Mid-value,,,,,,,
7,1,0,4.0,1.0,3.0,0.0,0.0,61.0,0.0,0.0,0.0,3400.0499999999797,2,59,1901.300000000004,155.14000000000004,267.0400000000001,0.0,652.8700000000005,20.64,0.0,189.71,3,0,1,4,Mid-value,45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
8,1,1,10.0,3.0,7.0,0.0,1.0,168.0,1.0,0.1,0.01,5534.969999999942,5,113,3107.2199999999925,142.38,337.9800000000003,188.94,778.890000000001,11.98,65.61,316.9200000000001,3,1,1,5,Mid-value,25-34,U,25-34K,Unknown,2 Adults Kids,3,1
9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797.420000000001,22,20,613.9200000000003,0.0,16.41,0.0,67.02,1.29,0.0,18.85,3,0,0,3,Low-value,,,,,,,
10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.34,26,9,98.05000000000001,19.6,9.81,0.0,65.7,1.69,8.35,9.61,3,0,0,3,Low-value,,,,,,,
11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.39,299,5,9.82,0.0,9.49,0.0,3.49,0.0,2.0,2.1,1,0,0,1,Low-value,,,,,,,
12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.2099999999999,207,7,143.67,39.65,43.2,0.0,16.52,0.0,0.0,13.35,1,0,0,1,Low-value,,,,,,,
13,1,1,10.0,3.0,6.0,1.0,21.0,161.0,21.0,2.1,0.13,13190.919999999956,2,275,4925.619999999976,97.98000000000002,306.9200000000001,3205.090000000001,2876.3799999999915,3.3099999999999996,10.09,19.13,3,1,3,7,High-value,25-34,U,75-99K,Homeowner,2 Adults Kids,4,2
14,1,1,5.0,3.0,0.0,2.0,3.0,98.0,3.0,0.6,0.03,2761.189999999999,7,140,1333.3900000000021,143.62,46.92999999999999,525.02,144.75,0.0,0.0,195.48000000000005,3,1,1,5,Mid-value,,,,,,,
15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.5300000000005,6,55,450.8699999999998,22.65,227.03,0.0,107.32,16.340000000000003,7.1,11.8,3,0,0,3,Low-value,,,,,,,
16,1,0,2.0,1.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,1512.0200000000018,21,98,823.7600000000011,97.87,87.45000000000002,192.29999999999998,68.29000000000002,8.86,6.43,95.78999999999999,3,0,0,3,Low-value,45-54,B,50-74K,Homeowner,Single Female,1,None/Unknown
17,1,0,5.0,5.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,5139.629999999968,22,124,1976.6600000000049,37.36,230.30999999999995,703.13,890.8100000000005,10.97,0.0,969.99,3,1,1,5,Mid-value,65+,B,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown
18,1,1,4.0,3.0,1.0,0.0,8.0,64.0,8.0,2.0,0.12,7118.909999999938,0,163,4289.769999999973,301.13000000000005,638.6300000000005,0.0,363.54000000000013,96.30000000000001,0.0,382.91999999999996,3,1,2,6,Mid-value,45-54,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown
19,1,1,9.0,3.0,4.0,2.0,1.0,168.0,1.0,0.11,0.01,11299.609999999926,0,421,5945.709999999979,287.88000000000005,583.1200000000009,1464.36,228.86000000000018,43.91,65.17999999999999,1435.3800000000003,3,2,3,8,High-value,35-44,B,15-24K,Unknown,Single Female,1,None/Unknown
20,1,0,7.0,3.0,4.0,0.0,0.0,113.0,0.0,0.0,0.0,7486.109999999958,0,387,3709.1799999999866,0.0,135.93,1446.8700000000001,746.6799999999998,0.0,0.0,408.61000000000024,3,2,2,7,High-value,25-34,A,75-99K,Renter,2 Adults No Kids,2,None/Unknown
