household_key,received_campaign,redeemed_coupons,total_campaigns_received,TypeA,TypeB,TypeC,total_campaigns_engaged,total_coupons_received,total_coupons_redeemed,camp_conversion_rate,coupon_conversion_rate,revenue,recency,frequency,GROCERY_spend,DELI_spend,PRODUCE_spend,KIOSK-GAS_spend,DRUG GM_spend,NUTRITION_spend,SALAD BAR_spend,MEAT_spend,age_desc,marital_status_code,income_desc,homeowner_desc,hh_comp_desc,household_size_desc,kid_category_desc,campA_26_converted,campA_30_converted,campA_8_converted,campA_13_converted,campA_18_converted,campB_28_converted,campB_29_converted,campB_1_converted,campB_2_converted,campB_4_converted,campB_5_converted,campB_7_converted,campB_9_converted,campB_10_converted,campB_12_converted,campB_11_converted,campB_16_converted,campB_17_converted,campB_19_converted,campB_22_converted,campB_21_converted,campB_23_converted,campB_25_converted,campB_24_converted,campC_27_converted,campC_3_converted,campC_6_converted,campC_14_converted,campC_15_converted,campC_20_converted,recency_cluster,frequency_cluster,revenue_cluster,rfm_score,segment
1,1,1,4.0,2.0,2.0,0.0,3.0,80.0,3.0,0.75,0.04,3362.459999999984,5,67,2158.2100000000037,158.50000000000003,206.8,0.0,374.38000000000034,43.63999999999999,12.690000000000001,17.91,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
16,1,0,2.0,1.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,1471.4500000000019,4,92,785.6700000000011,97.87,86.97000000000001,192.29999999999998,68.29000000000002,8.86,6.43,95.78999999999999,45-54,B,50-74K,Homeowner,Single Female,1,None/Unknown,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
25,1,0,3.0,3.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,2739.199999999996,6,76,1271.3700000000026,37.720000000000006,103.07999999999998,35.0,921.9000000000002,1.0,10.29,110.97,35-44,U,50-74K,Unknown,Unknown,1,None/Unknown,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
71,1,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2991.039999999994,6,76,805.1400000000002,23.2,128.70999999999995,30.0,1568.060000000001,1.0,26.72,182.04000000000008,35-44,A,25-34K,Homeowner,Single Female,2,None/Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
74,1,0,4.0,2.0,2.0,0.0,0.0,53.0,0.0,0.0,0.0,1915.4800000000012,7,123,1031.9100000000005,10.760000000000002,205.53999999999996,0.0,258.96000000000004,6.37,43.26,169.69999999999993,65+,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
114,1,0,3.0,3.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,2580.289999999992,7,72,1400.940000000001,8.52,74.8,135.28,342.83000000000027,111.69000000000003,2.55,87.42,25-34,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
118,1,0,4.0,2.0,2.0,0.0,0.0,62.0,0.0,0.0,0.0,3542.3499999999813,8,75,2177.020000000007,40.92,285.31000000000023,421.06,270.86,90.05,6.79,28.439999999999998,45-54,B,35-49K,Homeowner,Single Female,1,None/Unknown,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
121,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,2059.400000000006,7,101,1068.0400000000016,32.56,56.33,0.0,121.53,0.0,0.0,408.07000000000005,45-54,U,25-34K,Unknown,2 Adults Kids,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
164,1,0,2.0,1.0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,3172.009999999989,4,84,2077.2900000000045,39.089999999999996,119.89999999999996,148.0,261.4400000000001,1.0,4.02,109.3,45-54,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
192,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,3143.279999999987,7,74,2166.07,0.0,194.5,0.0,260.80999999999995,2.49,0.0,283.93999999999994,45-54,A,35-49K,Homeowner,Single Male,2,None/Unknown,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
208,1,1,6.0,4.0,2.0,0.0,1.0,116.0,1.0,0.17,0.01,3443.06999999999,8,109,1672.2000000000048,111.88,236.34,405.58,254.49,0.0,0.0,559.3300000000002,45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
221,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,2265.65,6,63,1503.510000000002,298.3299999999998,26.280000000000005,31.03,157.4,0.0,0.0,5.18,65+,U,15-24K,Unknown,Unknown,1,None/Unknown,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Low-value
281,1,0,5.0,4.0,0.0,1.0,0.0,66.0,0.0,0.0,0.0,1302.5000000000023,7,72,768.6400000000003,39.68,240.98000000000008,23.439999999999998,40.34000000000001,0.0,0.0,130.24,35-44,B,50-74K,Homeowner,Single Female,1,None/Unknown,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,Low-value
