household_key,received_campaign,redeemed_coupons,total_campaigns_received,TypeA,TypeB,TypeC,total_campaigns_engaged,total_coupons_received,total_coupons_redeemed,camp_conversion_rate,coupon_conversion_rate,revenue,recency,frequency,GROCERY_spend,DELI_spend,PRODUCE_spend,KIOSK-GAS_spend,DRUG GM_spend,NUTRITION_spend,SALAD BAR_spend,MEAT_spend
1,1,1,4.0,2.0,2.0,0.0,3.0,80.0,3.0,0.75,0.04,3362.459999999984,5,67,2158.2100000000037,158.50000000000003,206.8,0.0,374.38000000000034,43.63999999999999,12.690000000000001,17.91
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1621.590000000003,3,39,912.5400000000013,42.74,120.32999999999998,0.0,274.09999999999997,7.470000000000001,0.0,128.15
3,1,0,3.0,2.0,0.0,1.0,0.0,58.0,0.0,0.0,0.0,2554.979999999995,10,44,1737.6100000000013,36.47,68.03,20.01,146.7800000000001,0.0,1.36,298.43000000000006
4,1,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1080.7200000000005,2,27,639.4100000000004,6.37,4.869999999999999,0.0,275.18000000000006,3.29,0.0,38.74
5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.8400000000003,23,36,319.17999999999995,80.03000000000002,2.19,0.0,201.81,0.0,0.0,49.75
6,1,0,3.0,2.0,1.0,0.0,0.0,40.0,0.0,0.0,0.0,5084.919999999957,1,204,1604.450000000003,94.78999999999999,1171.1700000000008,252.75,666.9800000000004,39.900000000000006,18.45,925.6300000000001
7,1,0,3.0,0.0,3.0,0.0,0.0,45.0,0.0,0.0,0.0,2320.499999999996,10,38,1184.3700000000013,116.15,168.34000000000003,0.0,497.9900000000002,4.98,0.0,175.52
8,1,1,8.0,2.0,6.0,0.0,1.0,136.0,1.0,0.12,0.01,4113.899999999973,0,90,2208.3300000000027,45.47,183.04000000000013,188.94,688.0800000000007,11.98,50.550000000000004,261.8800000000001
9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.3600000000004,77,12,425.26000000000016,0.0,4.640000000000001,0.0,35.22,1.29,0.0,0.0
10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.94000000000003,89,7,69.71000000000001,5.9799999999999995,9.81,0.0,56.64,1.69,8.35,2.8
11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.39,174,5,9.82,0.0,9.49,0.0,3.49,0.0,2.0,2.1
12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.2099999999999,82,7,143.67,39.65,43.2,0.0,16.52,0.0,0.0,13.35
13,1,1,6.0,2.0,4.0,0.0,11.0,82.0,11.0,1.83,0.13,10138.399999999956,0,207,3692.3899999999903,47.65000000000001,232.49000000000007,2472.860000000001,2187.8499999999985,3.3099999999999996,10.09,19.13
14,1,1,3.0,2.0,0.0,1.0,3.0,58.0,3.0,1.0,0.05,2231.940000000003,2,121,1038.2199999999998,72.34,24.72,525.02,119.53999999999998,0.0,0.0,152.48000000000002
15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665.4700000000004,1,30,341.52999999999986,19.09,164.42999999999995,0.0,83.17,16.340000000000003,0.0,7.48
16,1,0,2.0,1.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,1471.4500000000019,4,92,785.6700000000011,97.87,86.97000000000001,192.29999999999998,68.29000000000002,8.86,6.43,95.78999999999999
